name,url,author,publisher,date,price,rate,persons,comment
罗生门,https://book.douban.com/subject/3136271/,"[日]芥川龙之介,林少华",上海译文出版社,Jul-08,12.00元,8.7,"(
27457人评价
)",空
京华烟云,https://book.douban.com/subject/1391191/,"林语堂,张振玉",陕西师范大学出版社,Jul-05,43.00元,8.5,"(
27821人评价
)",林语堂的《红楼梦》
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,"[日]村上春树,施小炜",南海出版公司,2013/10/1,39.50元,8.2,"(
28560人评价
)",并不是一切都消失在了时间的长河里
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,木心讲述,广西师范大学出版社,2013/1/10,98.00元,9.2,"(
25502人评价
)",木心留给世界的礼物
父与子全集,https://book.douban.com/subject/1002898/,"[德]埃·奥·卜劳恩绘,杨莹",中国工人出版社,Apr-03,20.00元,9.2,"(
25275人评价
)",空
最初的爱情最后的仪式,https://book.douban.com/subject/4011440/,"[英]伊恩·麦克尤恩,潘帕",南京大学出版社,Feb-10,22.00元,8,"(
29219人评价
)",别被封面骗了
一千零一夜,https://book.douban.com/subject/1035848/,纳训,人民文学出版社,Jan-03,22,8.6,"(
26636人评价
)",空
尼罗河上的惨案,https://book.douban.com/subject/1818347/,"[英]阿加莎·克里斯蒂,宫英海",人民文学出版社,May-06,22.00元,8.7,"(
26552人评价
)",阿婆代表作之一
人间词话,https://book.douban.com/subject/1203426/,王国维,上海古籍出版社,1998/12/1,9.80元,9,"(
25272人评价
)",空
生活在别处,https://book.douban.com/subject/1013225/,"[捷克]米兰·昆德拉,袁筱一",上海译文出版社,May-04,25.00元,8.4,"(
27099人评价
)",此处的生活唯有残酷
激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波,中信出版社浙江人民出版社,Jan-07,35,8.8,"(
25089人评价
)",这是一个最好的时代，也是一个最坏的时代
设计中的设计,https://book.douban.com/subject/1941558/,"[日]原研哉,朱锷",山东人民出版社,Nov-06,48.00元,8.6,"(
25763人评价
)",日常生活的无限可能性
心是孤独的猎手,https://book.douban.com/subject/1424741/,"[美]卡森·麦卡勒斯,陈笑黎",上海三联书店,Aug-05,25.00元,8.5,"(
25976人评价
)",镇上有两个哑巴，他们总是在一起。
面纱,https://book.douban.com/subject/10560798/,"(英)W.萨默塞特·毛姆,阮景林",重庆,2012/5/1,32.00元,8.7,"(
25240人评价
)",空
雨季不再来,https://book.douban.com/subject/2136140/,三毛,北京十月文艺出版社,Jul-07,28.00元,8.7,"(
25346人评价
)",空
新名字的故事,https://book.douban.com/subject/26986954/,"[意]埃莱娜·费兰特,陈英",人民文学出版社,Apr-17,59.00元,9,"(
24212人评价
)",空
佛祖在一号线,https://book.douban.com/subject/4872671/,李海鹏,文化艺术出版社,Jun-10,25.00元,8.2,"(
26472人评价
)",嬉笑怒骂的常识分子
我执,https://book.douban.com/subject/3642673/,梁文道,广西师范大学出版社,Oct-10,35.00元,8,"(
27159人评价
)",梁文道的私密日记
我的精神家园,https://book.douban.com/subject/1014578/,王小波,文化艺术出版社,1997,18.80元,9.1,"(
23540人评价
)",活过，爱过，写过
第一炉香,https://book.douban.com/subject/1082162/,张爱玲,花城出版社,Mar-97,11.5,8.4,"(
25833人评价
)",空
妻妾成群,https://book.douban.com/subject/1025753/,苏童,上海文艺出版社,Aug-04,23.00元,8.2,"(
26095人评价
)",空
海子的诗,https://book.douban.com/subject/1011754/,海子,人民文学出版社,Apr-99,15.4,8.9,"(
23768人评价
)",空
芳华,https://book.douban.com/subject/27010212/,严歌苓,人民文学出版社,2017/4/1,39.00元,8.1,"(
26144人评价
)",空
九州·缥缈录,https://book.douban.com/subject/1321017/,江南,新世界出版社,Jun-05,20.00元,8.8,"(
23663人评价
)",乱世的英雄史诗
野火集,https://book.douban.com/subject/1426971/,龙应台,文汇出版社,Aug-05,25.00元,8.8,"(
23948人评价
)",中国人你为什么不生气？
偷书贼,https://book.douban.com/subject/2180619/,"[澳]马克斯·苏萨克,孙张静",南海出版公司,Aug-07,25.00元,8,"(
26215人评价
)",不能说偷，是窃，窃你懂吗
娱乐至死,https://book.douban.com/subject/1062193/,"[美]尼尔·波兹曼,章艳",广西师范大学出版社,Jun-11,29.80元,8.6,"(
24692人评价
)",空
教父,https://book.douban.com/subject/1092335/,"[美]马里奥·普佐,周汉林",译林出版社,Aug-97,23.30元,9,"(
23046人评价
)",空
万水千山走遍,https://book.douban.com/subject/1036490/,三毛,哈尔滨出版社,Aug-03,13.8,8.8,"(
23229人评价
)",空
哈姆莱特,https://book.douban.com/subject/1006197/,"[英]莎士比亚,朱生豪",人民文学出版社,Jan-01,7.00元,8.5,"(
23994人评价
)",空
斯通纳,https://book.douban.com/subject/26425831/,"[美]约翰·威廉斯,杨向荣",上海人民出版社,Jan-16,49.00元,8.8,"(
23024人评价
)",空
占星术杀人魔法,https://book.douban.com/subject/3187737/,"[日]岛田庄司,王鹏帆",新星出版社,Sep-08,28,8.3,"(
24305人评价
)",一桩占星术连续杀人案件
台北人,https://book.douban.com/subject/5337248/,白先勇,广西师范大学出版社,Oct-10,38.00元,8.9,"(
22393人评价
)",空
舞！舞！舞！,https://book.douban.com/subject/1020670/,"[日]村上春树,林少华",上海译文出版社,Jun-02,25.00元,8.3,"(
24218人评价
)",深入村上春树的心灵腹地
浪潮之巅,https://book.douban.com/subject/6709783/,吴军,电子工业出版社,Aug-11,55.00元,9.1,"(
21768人评价
)",了解IT领域的入门读物
雾都孤儿,https://book.douban.com/subject/1203251/,"[英]狄更斯,荣如德",上海译文出版社,Jul-91,10.10元,8.1,"(
24280人评价
)",空
动物凶猛,https://book.douban.com/subject/1143694/,王朔,中国电影出版社,2004年2月,15.50元,8.3,"(
23712人评价
)",空
子不语1,https://book.douban.com/subject/4188697/,夏达,新世纪出版社,Dec-09,RMB36.00,9,"(
21207人评价
)",空
新参者,https://book.douban.com/subject/6746289/,"[日]东野圭吾,岳远坤",南海出版公司,Sep-11,28.00元,8.4,"(
23159人评价
)",空
